date,NO2_value
2019-05-02,7.57E-05
2019-05-03,8.87E-05
2019-05-04,9.71E-05
2019-05-05,9.61E-05
2019-05-06,6.34E-05
2019-05-07,8.11E-05
2019-05-07,7.87E-05
2019-05-08,7.68E-05
2019-05-08,8.00E-05
2019-05-09,9.31E-05
2019-05-10,8.62E-05
2019-05-11,7.99E-05
2019-05-12,7.62E-05
2019-05-13,8.28E-05
2019-05-13,8.37E-05
2019-05-14,1.06E-04
2019-05-15,9.73E-05
2019-05-16,1.29E-04
2019-05-17,1.22E-04
2019-05-18,8.48E-05
2019-05-18,8.90E-05
2019-05-19,8.46E-05
2019-05-20,9.86E-05
2019-05-21,7.75E-05
2019-05-22,9.31E-05
2019-05-23,7.72E-05
2019-05-23,7.79E-05
2019-05-24,7.79E-05
2019-05-24,1.05E-04
2019-05-25,9.22E-05
2019-05-26,1.02E-04
2019-05-27,1.25E-04
2019-05-28,9.82E-05
2019-05-29,8.98E-05
2019-05-29,8.59E-05
2019-05-30,9.73E-05
2019-05-31,8.34E-05
2019-06-01,9.86E-05
2019-06-02,7.92E-05
2019-06-03,7.04E-05
2019-06-03,7.21E-05
2019-06-04,7.20E-05
2019-06-05,6.67E-05
2019-06-06,8.25E-05
2019-06-07,1.19E-04
2019-06-08,9.77E-05
2019-06-08,1.14E-04
2019-06-09,7.45E-05
2019-06-09,9.49E-05
2019-06-10,1.11E-04
2019-06-11,1.25E-04
2019-06-12,9.73E-05
2019-06-13,1.08E-04
2019-06-14,1.01E-04
2019-06-14,1.13E-04
2019-06-15,6.92E-05
2019-06-16,8.93E-05
2019-06-17,7.43E-05
2019-06-18,1.02E-04
2019-06-19,8.62E-05
2019-06-19,8.77E-05
2019-06-20,9.12E-05
2019-06-21,1.08E-04
2019-06-22,1.25E-04
2019-06-23,9.69E-05
2019-06-24,1.06E-04
2019-06-24,1.04E-04
2019-06-25,9.23E-05
2019-06-25,1.10E-04
2019-06-26,1.18E-04
2019-06-27,1.00E-04
2019-06-28,1.16E-04
2019-06-29,1.05E-04
2019-07-01,9.91E-05
2019-07-02,1.11E-04
2019-07-03,9.27E-05
2019-07-04,9.36E-05
2019-07-05,9.33E-05
2019-07-05,9.52E-05
2019-07-06,1.02E-04
2019-07-07,1.05E-04
2019-07-08,1.11E-04
2019-07-09,1.21E-04
2019-07-10,1.14E-04
2019-07-10,1.10E-04
2019-07-11,9.45E-05
2019-07-11,1.11E-04
2019-07-12,8.77E-05
2019-07-13,1.06E-04
2019-07-14,8.78E-05
2019-07-16,9.06E-05
2019-07-16,8.51E-05
2019-07-17,9.26E-05
2019-07-18,8.50E-05
2019-07-19,1.04E-04
2019-07-20,8.81E-05
2019-07-21,8.44E-05
2019-07-21,9.21E-05
2019-07-22,1.01E-04
2019-07-23,1.18E-04
2019-07-24,1.15E-04
2019-07-25,1.16E-04
2019-07-26,1.06E-04
2019-07-26,9.99E-05
2019-07-27,8.17E-05
2019-07-27,8.62E-05
2019-07-28,9.61E-05
2019-07-29,1.19E-04
2019-07-30,1.53E-04
2019-07-31,1.01E-04
2019-08-01,8.83E-05
2019-08-01,8.43E-05
2019-08-02,9.56E-05
2019-08-03,1.13E-04
2019-08-04,1.15E-04
2019-08-05,9.60E-05
2019-08-06,8.37E-05
2019-08-06,8.61E-05
2019-08-07,1.03E-04
2019-08-08,1.06E-04
2019-08-09,1.12E-04
2019-08-10,9.59E-05
2019-08-11,9.19E-05
2019-08-11,9.81E-05
2019-08-12,7.37E-05
2019-08-12,1.05E-04
2019-08-13,9.99E-05
2019-08-14,9.41E-05
2019-08-15,8.23E-05
2019-08-16,6.93E-05
2019-08-17,8.13E-05
2019-08-17,7.74E-05
2019-08-18,8.58E-05
2019-08-19,8.75E-05
2019-08-20,8.75E-05
2019-08-21,7.86E-05
2019-08-22,8.58E-05
2019-08-22,9.16E-05
2019-08-23,1.16E-04
2019-08-24,1.02E-04
2019-08-25,1.15E-04
2019-08-26,1.25E-04
2019-08-27,9.36E-05
2019-08-27,9.58E-05
2019-08-28,7.98E-05
2019-08-28,1.03E-04
2019-08-29,1.26E-04
2019-08-30,9.57E-05
2019-08-31,9.04E-05
2019-09-01,7.28E-05
2019-09-02,1.01E-04
2019-09-02,1.02E-04
2019-09-03,9.69E-05
2019-09-04,9.32E-05
2019-09-05,1.06E-04
2019-09-06,8.46E-05
2019-09-07,7.64E-05
2019-09-07,7.86E-05
2019-09-08,7.85E-05
2019-09-09,1.15E-04
2019-09-10,1.06E-04
2019-09-11,1.09E-04
2019-09-12,8.76E-05
2019-09-12,8.62E-05
2019-09-13,7.06E-05
2019-09-13,8.22E-05
2019-09-14,7.45E-05
2019-09-15,7.14E-05
2019-09-16,9.62E-05
2019-09-17,8.88E-05
2019-09-18,9.25E-05
2019-09-18,9.91E-05
2019-09-19,7.45E-05
2019-09-20,8.25E-05
2019-09-21,7.66E-05
2019-09-22,6.84E-05
2019-09-23,7.74E-05
2019-09-23,8.70E-05
2019-09-24,9.57E-05
2019-09-25,8.80E-05
2019-09-26,6.79E-05
2019-09-27,1.03E-04
2019-09-28,8.08E-05
2019-09-28,7.29E-05
2019-09-29,6.19E-05
2019-09-29,7.98E-05
2019-09-30,1.17E-04
2019-10-01,1.18E-04
2019-10-02,1.19E-04
2019-10-03,6.41E-05
2019-10-04,7.58E-05
2019-10-04,7.72E-05
2019-10-05,6.89E-05
2019-10-06,5.44E-05
2019-10-07,8.89E-05
2019-10-08,7.51E-05
2019-10-09,6.62E-05
2019-10-09,6.93E-05
2019-10-10,9.36E-05
2019-10-11,7.58E-05
2019-10-12,6.67E-05
2019-10-13,6.10E-05
2019-10-14,4.65E-05
2019-10-14,6.02E-05
2019-10-15,9.42E-05
2019-10-15,7.47E-05
2019-10-16,8.69E-05
2019-10-17,1.01E-04
2019-10-18,6.83E-05
2019-10-19,7.17E-05
2019-10-20,7.20E-05
2019-10-20,7.28E-05
2019-10-21,8.72E-05
2019-10-22,1.29E-04
2019-10-23,9.01E-05
2019-10-24,1.13E-04
2019-10-25,6.15E-05
2019-10-25,7.96E-05
2019-10-26,6.75E-05
2019-10-27,6.75E-05
2019-10-28,6.37E-05
2019-10-29,6.94E-05
2019-10-30,6.73E-05
2019-10-30,6.71E-05
2019-10-31,7.08E-05
2019-10-31,7.86E-05
2019-11-01,7.64E-05
2019-11-02,6.48E-05
2019-11-03,6.05E-05
2019-11-04,6.34E-05
2019-11-05,6.48E-05
2019-11-05,6.92E-05
2019-11-06,7.34E-05
2019-11-07,7.27E-05
2019-11-08,7.76E-05
2019-11-09,6.01E-05
2019-11-10,7.24E-05
2019-11-10,6.75E-05
2019-11-11,6.52E-05
2019-11-12,8.63E-05
2019-11-13,6.52E-05
2019-11-14,1.32E-04
2019-11-15,1.44E-04
2019-11-15,7.01E-05
2019-11-16,7.35E-05
2019-11-16,6.80E-05
2019-11-17,7.77E-05
2019-11-18,6.47E-05
2019-11-19,8.18E-05
2019-11-20,7.67E-05
2019-11-21,9.28E-05
2019-11-21,8.01E-05
2019-11-22,8.62E-05
2019-11-23,9.72E-05
2019-11-24,6.69E-05
2019-11-25,1.07E-04
2019-11-26,9.03E-05
2019-11-26,1.14E-04
2019-11-27,5.72E-05
2019-11-28,6.98E-05
2019-11-29,6.11E-05
2019-11-30,7.31E-05
2019-12-01,4.50E-05
2019-12-01,5.28E-05
2019-12-02,6.22E-05
2019-12-02,6.33E-05
2019-12-03,6.99E-05
2019-12-04,6.09E-05
2019-12-05,5.31E-05
2019-12-06,6.83E-05
2019-12-07,5.53E-05
2019-12-07,5.76E-05
2019-12-08,5.45E-05
2019-12-09,7.25E-05
2019-12-10,7.44E-05
2019-12-11,1.05E-04
2019-12-12,9.70E-05
2019-12-12,9.07E-05
2019-12-13,5.57E-05
2019-12-14,4.72E-05
2019-12-15,1.15E-04
2019-12-16,6.41E-05
2019-12-17,5.59E-05
2019-12-17,6.80E-05
2019-12-18,9.78E-05
2019-12-18,1.05E-04
2019-12-19,9.18E-05
2019-12-20,8.48E-05
2019-12-21,6.57E-05
2019-12-22,5.26E-05
2019-12-23,6.58E-05
2019-12-23,6.44E-05
2019-12-24,5.48E-05
2019-12-25,5.08E-05
2019-12-26,6.41E-05
2019-12-27,6.61E-05
2019-12-28,5.39E-05
2019-12-28,4.95E-05
2019-12-29,4.62E-05
2019-12-30,5.58E-05
2020-01-01,4.57E-05
2020-01-02,5.25E-05
2020-01-02,6.19E-05
2020-01-03,5.00E-05
2020-01-03,6.11E-05
2020-01-04,5.30E-05
2020-01-05,6.25E-05
2020-01-06,4.99E-05
2020-01-07,6.19E-05
2020-01-08,4.60E-05
2020-01-08,8.63E-05
2020-01-09,6.03E-05
2020-01-10,6.01E-05
2020-01-11,7.00E-05
2020-01-12,4.20E-05
2020-01-13,6.22E-05
2020-01-13,6.49E-05
2020-01-14,6.64E-05
2020-01-15,8.29E-05
2020-01-16,3.99E-05
2020-01-17,8.56E-05
2020-01-18,4.20E-05
2020-01-18,6.65E-05
2020-01-19,4.81E-05
2020-01-19,5.19E-05
2020-01-20,4.56E-05
2020-01-21,5.66E-05
2020-01-22,6.69E-05
2020-01-23,4.99E-05
2020-01-24,5.49E-05
2020-01-24,5.84E-05
2020-01-25,6.31E-05
2020-01-26,5.13E-05
2020-01-27,6.48E-05
2020-01-28,6.12E-05
2020-01-29,9.03E-05
2020-01-29,7.32E-05
2020-01-30,5.62E-05
2020-01-31,5.49E-05
2020-02-01,5.38E-05
2020-02-02,6.19E-05
2020-02-03,7.11E-05
2020-02-03,7.28E-05
2020-02-04,4.30E-05
2020-02-04,4.53E-05
2020-02-05,5.84E-05
2020-02-06,8.44E-05
2020-02-07,4.86E-05
2020-02-08,5.62E-05
2020-02-09,5.09E-05
2020-02-09,5.95E-05
2020-02-10,5.84E-05
2020-02-11,7.45E-05
2020-02-12,5.92E-05
2020-02-13,6.14E-05
2020-02-15,5.56E-05
2020-02-16,6.37E-05
2020-02-17,6.57E-05
2020-02-18,5.28E-05
2020-02-19,5.39E-05
2020-02-19,6.01E-05
2020-02-20,5.48E-05
2020-02-20,5.33E-05
2020-02-21,8.68E-05
2020-02-22,6.62E-05
2020-02-23,5.50E-05
2020-02-24,7.51E-05
2020-02-25,6.72E-05
2020-02-25,5.88E-05
2020-02-26,7.36E-05
2020-02-27,7.88E-05
2020-02-28,7.37E-05
2020-02-29,5.26E-05
2020-03-01,5.41E-05
2020-03-01,5.78E-05
2020-03-02,6.40E-05
2020-03-03,6.30E-05
2020-03-04,6.71E-05
2020-03-05,1.02E-04
2020-03-06,3.52E-05
2020-03-06,6.22E-05
2020-03-07,5.85E-05
2020-03-07,5.74E-05
2020-03-08,6.94E-05
2020-03-09,7.48E-05
2020-03-10,5.65E-05
2020-03-11,6.29E-05
2020-03-13,7.59E-05
2020-03-14,5.66E-05
2020-03-15,5.11E-05
2020-03-16,5.44E-05
2020-03-17,5.82E-05
2020-03-17,5.94E-05
2020-03-18,5.92E-05
2020-03-19,6.61E-05
2020-03-20,6.71E-05
2020-03-21,7.07E-05
2020-03-22,6.54E-05
2020-03-22,6.88E-05
2020-03-23,6.99E-05
2020-03-23,5.34E-05
2020-03-24,7.18E-05
2020-03-25,6.56E-05
2020-03-26,6.69E-05
2020-03-27,6.08E-05
2020-03-28,5.34E-05
2020-03-28,5.73E-05
2020-03-29,5.92E-05
2020-03-30,5.85E-05
2020-03-31,6.92E-05
2020-04-01,6.27E-05
2020-04-02,6.07E-05
2020-04-02,6.55E-05
2020-04-03,6.10E-05
2020-04-04,6.40E-05
2020-04-05,8.46E-05
2020-04-06,6.00E-05
2020-04-07,5.97E-05
2020-04-07,6.54E-05
2020-04-08,5.19E-05
2020-04-08,5.65E-05
2020-04-09,5.82E-05
2020-04-10,6.22E-05
2020-04-11,7.03E-05
2020-04-12,6.77E-05
2020-04-13,6.58E-05
2020-04-13,7.12E-05
2020-04-14,6.81E-05
2020-04-15,1.82E-05
2020-04-16,7.27E-05
2020-04-17,7.20E-05
2020-04-18,6.54E-05
2020-04-18,6.86E-05
2020-04-19,6.53E-05
2020-04-20,8.16E-05
2020-04-21,7.00E-05
2020-04-22,6.81E-05
2020-04-23,7.30E-05
2020-04-23,7.32E-05
2020-04-24,5.58E-05
2020-04-24,6.66E-05
2020-04-25,5.84E-05
2020-04-26,6.96E-05
2020-04-27,7.06E-05
2020-04-28,6.57E-05
2020-04-29,7.34E-05
2020-04-29,8.11E-05
2020-04-30,7.38E-05
2020-05-01,6.94E-05
2020-05-02,7.05E-05
2020-05-03,6.13E-05
2020-05-04,8.09E-05
2020-05-04,7.52E-05
2020-05-05,7.91E-05
2020-05-06,7.05E-05
2020-05-07,7.27E-05
2020-05-08,6.12E-05
2020-05-09,6.79E-05
2020-05-09,7.56E-05
2020-05-10,7.16E-05
2020-05-10,7.63E-05
2020-05-11,8.52E-05
2020-05-12,8.78E-05
2020-05-13,7.04E-05
2020-05-14,7.47E-05
2020-05-15,6.90E-05
2020-05-15,7.65E-05
2020-05-16,7.64E-05
2020-05-17,7.94E-05
2020-05-18,7.03E-05
2020-05-19,7.28E-05
2020-05-20,7.87E-05
2020-05-20,8.77E-05
2020-05-21,1.17E-04
2020-05-22,7.55E-05
2020-05-23,7.36E-05
2020-05-24,7.53E-05
2020-05-25,7.04E-05
2020-05-25,7.27E-05
2020-05-26,7.29E-05
2020-05-26,7.67E-05
2020-05-27,8.76E-05
2020-05-28,7.55E-05
2020-05-29,7.65E-05
2020-05-30,7.62E-05
2020-05-31,7.37E-05
2020-05-31,7.14E-05
2020-06-01,7.30E-05
2020-06-02,7.77E-05
2020-06-03,7.66E-05
2020-06-04,7.15E-05
2020-06-05,7.40E-05
2020-06-05,7.84E-05
2020-06-06,8.84E-05
2020-06-07,8.43E-05
2020-06-08,8.66E-05
2020-06-09,9.87E-05
2020-06-10,8.07E-05
2020-06-10,7.40E-05
2020-06-11,7.55E-05
2020-06-11,7.86E-05
2020-06-12,7.09E-05
2020-06-13,7.97E-05
2020-06-14,8.34E-05
2020-06-15,8.27E-05
2020-06-16,6.71E-05
2020-06-16,7.26E-05
2020-06-17,7.45E-05
2020-06-18,7.11E-05
2020-06-19,7.95E-05
2020-06-20,8.15E-05
2020-06-21,7.43E-05
2020-06-21,7.96E-05
2020-06-22,8.29E-05
2020-06-23,8.14E-05
2020-06-24,7.83E-05
2020-06-25,8.86E-05
2020-06-26,8.58E-05
2020-06-26,8.45E-05
2020-06-27,7.54E-05
2020-06-27,8.41E-05
2020-06-28,8.90E-05
2020-06-29,9.03E-05
2020-07-01,8.76E-05
2020-07-02,9.19E-05
2020-07-02,8.61E-05
2020-07-03,1.24E-04
2020-07-04,9.89E-05
2020-07-05,8.65E-05
2020-07-06,1.03E-04
2020-07-07,7.83E-05
2020-07-07,7.70E-05
2020-07-08,8.77E-05
2020-07-09,1.00E-04
2020-07-10,1.01E-04
2020-07-11,9.39E-05
2020-07-12,7.95E-05
2020-07-12,8.24E-05
2020-07-13,8.61E-05
2020-07-13,9.95E-05
2020-07-14,8.24E-05
2020-07-15,1.06E-04
2020-07-16,1.09E-04
2020-07-17,9.13E-05
2020-07-18,8.19E-05
2020-07-18,8.57E-05
2020-07-19,8.81E-05
2020-07-20,7.72E-05
2020-07-21,8.29E-05
2020-07-22,9.07E-05
2020-07-23,9.16E-05
2020-07-23,9.49E-05
2020-07-24,9.16E-05
2020-07-25,8.30E-05
2020-07-26,8.87E-05
2020-07-27,9.75E-05
2020-07-28,1.06E-04
2020-07-28,1.00E-04
2020-07-29,9.10E-05
2020-07-29,1.13E-04
2020-07-30,1.05E-04
2020-07-31,9.03E-05
2020-08-01,8.93E-05
2020-08-02,1.04E-04
2020-08-03,8.70E-05
2020-08-03,8.98E-05
2020-08-04,8.58E-05
2020-08-05,9.82E-05
2020-08-06,1.04E-04
2020-08-07,1.12E-04
2020-08-08,7.61E-05
2020-08-08,7.71E-05
2020-08-09,7.45E-05
2020-08-10,7.79E-05
2020-08-11,8.24E-05
2020-08-12,9.79E-05
2020-08-13,9.39E-05
2020-08-13,9.57E-05
2020-08-14,8.42E-05
2020-08-14,9.70E-05
2020-08-15,9.30E-05
2020-08-16,8.95E-05
2020-08-18,1.03E-04
2020-08-19,9.52E-05
2020-08-19,9.73E-05
2020-08-20,9.35E-05
2020-08-21,1.10E-04
2020-08-22,8.17E-05
2020-08-23,7.80E-05
2020-08-24,9.06E-05
2020-08-24,1.03E-04
2020-08-25,1.07E-04
2020-08-27,1.10E-04
2020-08-28,9.60E-05
2020-08-29,8.11E-05
2020-08-29,8.66E-05
2020-08-30,7.37E-05
2020-08-30,8.06E-05
2020-08-31,8.64E-05
2020-09-01,1.07E-04
2020-09-02,8.73E-05
2020-09-03,9.12E-05
2020-09-04,8.08E-05
2020-09-04,8.02E-05
2020-09-05,9.51E-05
2020-09-06,8.38E-05
2020-09-07,1.16E-04
2020-09-08,8.43E-05
2020-09-09,8.17E-05
2020-09-09,8.24E-05
2020-09-10,7.68E-05
2020-09-11,8.52E-05
2020-09-12,8.02E-05
2020-09-13,6.33E-05
2020-09-14,8.18E-05
2020-09-15,7.83E-05
2020-09-15,8.87E-05
2020-09-16,9.75E-05
2020-09-17,1.07E-04
2020-09-18,7.87E-05
2020-09-19,6.48E-05
2020-09-20,5.86E-05
2020-09-20,6.67E-05
2020-09-21,6.80E-05
2020-09-22,7.91E-05
2020-09-23,7.55E-05
2020-09-24,7.68E-05
2020-09-25,6.17E-05
2020-09-25,6.49E-05
2020-09-26,6.63E-05
2020-09-27,6.30E-05
2020-09-28,6.03E-05
2020-09-29,7.19E-05
2020-09-30,5.85E-05
2020-09-30,6.77E-05
2020-10-01,6.11E-05
2020-10-01,7.05E-05
2020-10-02,6.95E-05
2020-10-03,6.22E-05
2020-10-04,6.90E-05
2020-10-05,7.64E-05
2020-10-06,7.16E-05
2020-10-06,7.43E-05
2020-10-07,7.57E-05
2020-10-08,7.30E-05
2020-10-09,1.09E-04
2020-10-10,6.99E-05
2020-10-11,6.32E-05
2020-10-11,6.45E-05
2020-10-12,7.38E-05
2020-10-13,6.21E-05
2020-10-14,5.42E-05
2020-10-15,6.85E-05
2020-10-16,6.76E-05
2020-10-16,6.54E-05
2020-10-17,7.19E-05
2020-10-17,6.92E-05
2020-10-18,4.56E-05
2020-10-19,9.29E-05
2020-10-20,6.19E-05
2020-10-21,6.03E-05
2020-10-22,5.31E-05
2020-10-22,5.51E-05
2020-10-23,7.46E-05
2020-10-24,8.81E-05
2020-10-25,8.88E-05
2020-10-26,9.51E-05
2020-10-27,7.88E-05
2020-10-27,7.50E-05
2020-10-28,6.33E-05
2020-10-29,6.15E-05
2020-10-30,8.20E-05
2020-10-31,5.67E-05
2020-11-01,5.62E-05
2020-11-01,5.76E-05
2020-11-02,6.58E-05
2020-11-02,6.31E-05
2020-11-03,7.21E-05
2020-11-04,6.07E-05
2020-11-05,6.91E-05
2020-11-06,7.39E-05
2020-11-07,5.68E-05
2020-11-07,6.25E-05
2020-11-08,5.45E-05
2020-11-09,7.42E-05
2020-11-10,9.77E-05
2020-11-11,1.16E-04
2020-11-12,6.53E-05
2020-11-12,6.64E-05
2020-11-13,7.46E-05
2020-11-14,6.43E-05
2020-11-15,7.32E-05
2020-11-16,7.71E-05
2020-11-17,8.27E-05
2020-11-17,7.67E-05
2020-11-18,6.20E-05
2020-11-18,6.80E-05
2020-11-19,7.81E-05
2020-11-20,5.88E-05
2020-11-21,6.06E-05
2020-11-22,6.57E-05
2020-11-23,6.82E-05
2020-11-23,7.00E-05
2020-11-24,6.83E-05
2020-11-25,9.37E-05
2020-11-26,6.36E-05
2020-11-27,5.87E-05
2020-11-28,7.58E-05
2020-11-28,8.18E-05
2020-11-29,7.21E-05
2020-11-30,1.27E-04
2020-12-01,1.01E-04
2020-12-02,7.63E-05
2020-12-03,6.98E-05
2020-12-03,7.88E-05
2020-12-04,1.53E-04
2020-12-04,1.45E-04
2020-12-05,1.42E-04
2020-12-06,6.04E-05
2020-12-07,8.20E-05
2020-12-08,1.19E-04
2020-12-09,4.99E-05
2020-12-09,5.26E-05
2020-12-10,6.30E-05
2020-12-11,6.73E-05
2020-12-12,8.39E-05
2020-12-13,5.44E-05
2020-12-14,3.06E-05
2020-12-14,4.97E-05
2020-12-15,5.40E-05
2020-12-16,6.34E-05
2020-12-17,6.10E-05
2020-12-18,1.07E-04
2020-12-19,6.67E-05
2020-12-19,5.62E-05
2020-12-20,6.01E-05
2020-12-20,5.91E-05
2020-12-21,7.65E-05
2020-12-22,9.55E-05
2020-12-23,6.92E-05
2020-12-24,5.80E-05
2020-12-25,7.34E-05
2020-12-25,8.08E-05
2020-12-26,6.72E-05
2020-12-27,5.83E-05
2020-12-28,8.20E-05
2020-12-29,6.56E-05
2020-12-30,7.26E-05
2020-12-30,6.88E-05
2021-01-01,6.54E-05
2021-01-02,5.96E-05
2021-01-03,6.66E-05
2021-01-04,6.22E-05
2021-01-04,7.44E-05
2021-01-05,6.53E-05
2021-01-05,7.45E-05
2021-01-06,7.82E-05
2021-01-07,1.01E-04
2021-01-08,7.94E-05
2021-01-09,8.84E-05
2021-01-10,7.09E-05
2021-01-10,8.87E-05
2021-01-11,9.46E-05
2021-01-12,6.62E-05
2021-01-13,1.01E-04
2021-01-14,4.86E-05
2021-01-15,5.53E-05
2021-01-15,6.00E-05
2021-01-16,4.76E-05
2021-01-17,4.46E-05
2021-01-18,5.05E-05
2021-01-19,6.52E-05
2021-01-20,6.26E-05
2021-01-20,6.28E-05
2021-01-21,6.75E-05
2021-01-21,6.87E-05
2021-01-22,7.29E-05
2021-01-23,5.94E-05
2021-01-24,5.80E-05
2021-01-25,7.92E-05
2021-01-26,4.38E-05
2021-01-27,1.10E-04
2021-01-28,4.58E-05
2021-01-29,4.54E-05
2021-01-30,4.90E-05
2021-01-31,4.45E-05
2021-01-31,5.55E-05
2021-02-01,6.74E-05
2021-02-02,7.42E-05
2021-02-03,5.97E-05
2021-02-04,6.13E-05
2021-02-05,6.40E-05
2021-02-05,5.49E-05
2021-02-06,6.94E-05
2021-02-06,7.56E-05
2021-02-07,5.42E-05
2021-02-08,6.72E-05
2021-02-09,7.23E-05
2021-02-10,5.55E-05
2021-02-11,5.64E-05
2021-02-11,6.44E-05
2021-02-12,5.55E-05
2021-02-13,6.19E-05
2021-02-14,5.82E-05
2021-02-15,6.62E-05
2021-02-16,5.82E-05
2021-02-16,6.73E-05
2021-02-17,5.90E-05
2021-02-18,6.59E-05
2021-02-19,7.21E-05
2021-02-20,6.57E-05
2021-02-21,7.09E-05
2021-02-21,6.54E-05
2021-02-22,6.26E-05
2021-02-22,5.54E-05
2021-02-23,6.10E-05
2021-02-24,5.70E-05
2021-02-25,6.71E-05
2021-02-26,7.58E-05
2021-02-27,7.00E-05
2021-02-27,7.23E-05
2021-02-28,5.83E-05
2021-03-01,7.06E-05
2021-03-02,6.25E-05
2021-03-03,6.14E-05
2021-03-04,6.93E-05
2021-03-04,7.11E-05
2021-03-05,6.74E-05
2021-03-06,6.85E-05
2021-03-07,5.71E-05
2021-03-08,6.34E-05
2021-03-09,5.15E-05
2021-03-09,5.88E-05
2021-03-10,5.78E-05
2021-03-10,7.52E-05
2021-03-11,5.90E-05
2021-03-12,6.76E-05
2021-03-13,7.30E-05
2021-03-14,7.83E-05
2021-03-15,6.66E-05
2021-03-15,6.12E-05
2021-03-16,6.22E-05
2021-03-17,5.43E-05
2021-03-18,5.64E-05
2021-03-19,7.10E-05
2021-03-20,6.53E-05
2021-03-20,6.76E-05
